run_id,val_aucpr,val_f1_score,train_aucpr,train_f1_score,test_f1_score,test_aucpr,test_precision,test_recall,test_accuracy
0622_124713,0.8951018955686703,0.8253768844221105,0.9106899313476553,0.846985631758258,0.7710330138445154,0.8554988948496309, 0.75, 0.7932797662527392, 0.8429510591672754
0622_124104,0.8431645942943659,0.7789473684210526,0.9078555512185853,0.8409832499456167,0.8102998696219035,0.8824957301026809, 0.7867088607594936, 0.8353494623655914,0.8696236559139785
0622_123444,0.869520038902263,0.7967032967032966,0.8713692363174628,0.8035831906204716,0.7869440459110474,0.8578398043928694, 0.7151238591916558, 0.8748006379585327, 0.8421052631578947
0622_122802,0.8989262769991183,0.8234814512841419,0.8921736893792841,0.8200253485424588,0.7849829351535836,0.8365981777052955, 0.7352941176470589, 0.8418740849194729, 0.8462664714494875
0622_122149,0.8671146855207464,0.8005354752342704,0.9068559939009786,0.8401223411650216,0.8066139468008627,0.880876144042941, 0.7807933194154488, 0.8342007434944237, 0.8666666666666667
0622_121549,0.8528793673035153,0.7975460122699386,0.891703160093033,0.8230725783676928,0.8006319115323854,0.8732308001735869, 0.7711503347534997, 0.8324572930354797, 0.8618046430135786
0622_120902,0.886245287045473,0.8116438356164384,0.8861593470020758,0.8165791447861965,0.7952646239554317,0.8588793157103476, 0.7523056653491436, 0.843426883308715, 0.8552437223042836
0622_120211,0.920288628237545,0.8432601880877743,0.8885535784335021,0.8153692614770459,0.7993338884263114,0.8649036075794897, 0.7855973813420621, 0.8135593220338984, 0.8638418079096045
0622_115519,0.8940130062552398,0.8175519630484989,0.9018385043806445,0.8370410077727151,0.8139337298215803,0.9002325405326675, 0.8077571669477235, 0.8202054794520548, 0.875
0622_114843,0.9101496026201947,0.8251748251748252,0.903672936092496,0.8322981366459627,0.8154292824554127,0.8925167062786831, 0.7801587301587302, 0.8540399652476107, 0.8711265566174341
0622_114235,0.857769996286567,0.8253588516746412,0.9044757107195989,0.8349767981438515,0.81786133960047,0.8960314484322097, 0.7660979636763896, 0.8771266540642723, 0.8697752572988868
0622_113612,0.8854449367983895,0.8070953436807096,0.8894260421989731,0.815569347004857,0.8160261651676206,0.8754496654044651, 0.7659247889485802, 0.8731408573928259, 0.868766404199475
0622_112926,0.8933421341268638,0.8237986270022883,0.8913553145560638,0.8156705173279759,0.8104575163398693,0.8634293455297797, 0.7848101265822784, 0.8378378378378378, 0.8693693693693694
0622_112227,0.9234501185755204,0.8348397699260477,0.9027585579883121,0.8348141902847137,0.8286792452830188,0.8997241953020002, 0.7956521739130434, 0.8645669291338582, 0.8808398950131233
0622_111543,0.8727746683629674,0.789272030651341,0.8656122961871207,0.7980167338084908,0.819557625145518,0.9059235922242254, 0.7677208287895311, 0.8789013732833958, 0.8709945900957137
