run_id,val_aucpr,val_f1_score,train_aucpr,train_f1_score,test_f1_score,test_aucpr
0622_124757,0.8869949964441258,0.8014934660858744,0.9091720955716742,0.8325210456357998,0.7745786516853933,0.8533072823531734
0622_124144,0.8552234741917205,0.7891682785299806,0.8951607744177592,0.8191175412078024,0.7954545454545454,0.8678413370586436
0622_123521,0.8700800640387185,0.807799442896936,0.8913454842813326,0.8106963198305533,0.7914359542266519,0.8652008428955907
0622_122829,0.8995507095528139,0.8192161820480405,0.9198587518834714,0.8438836612489307,0.7769886363636364,0.8494471410753329
0622_122209,0.8720853295175232,0.8027027027027027,0.9226373383307183,0.8460518047894994,0.8037585833032165,0.8861219037340463
0622_121549,0.8594691322669531,0.7917888563049853,0.8684841572073074,0.7987706921841168,0.7837674136886735,0.8616100955960626
0622_120853,0.8750915374699905,0.815742397137746,0.9006071853819959,0.8225010925891241,0.7876169906407487,0.8568349239582005
0622_120152,0.906635932680078,0.8346213292117465,0.9069781604277836,0.8297633872976339,0.7924528301886793,0.8534710363292612
0622_115453,0.8995105903511988,0.8224617129892229,0.9272278296477215,0.8477704432170281,0.8268251273344652,0.8888169022814526
0622_114825,0.9119180759608078,0.8323845667299178,0.9198227244002899,0.8412664225716132,0.8242677824267782,0.8997133644305082
0622_114211,0.8475653658393075,0.8137603795966786,0.9009797214693536,0.8194343727338651,0.8221642007542791,0.9001366461615499
0622_113537,0.9003697415167513,0.8232662192393736,0.929450282015837,0.8487758041286606,0.8257107540173053,0.895683444717934
0622_112842,0.9106807403396038,0.8295964125560538,0.8933224821097677,0.815802781289507,0.8147268408551069,0.8750570491391925
0622_112149,0.9270506944285445,0.8484349258649094,0.9230483405314759,0.8484253257382308,0.8365817091454273,0.9107142791001407
0622_111452,0.8558522341909103,0.7452471482889734,0.87122920356113,0.7993577471747051,0.8209658421672555,0.9071158695865373
