run_id,val_aucpr,val_f1_score,train_aucpr,train_f1_score,test_f1_score,test_aucpr
0622_134344,0.8974349788804046,0.8082191780821918,0.9215627696674473,0.8470343392299687,0.791447599018577,0.8769832960062957
0622_133345,0.8618869339511196,0.7871333964049196,0.9186505019528339,0.843473210396399,0.8145501786294251,0.8926508454769833
0622_132318,0.8803987798208703,0.8022922636103151,0.8849687700436245,0.8112769485903815,0.7899924184988628,0.87153482056888
0622_131228,0.915316859219233,0.8345143809920801,0.9222111985922995,0.8472409629997869,0.7878359264497878,0.8631453806691529
0622_130211,0.8827811887710212,0.8235294117647058,0.9105454102562888,0.8405554392575536,0.8081232492997199,0.8916148660841444
0622_125205,0.8494970499432692,0.7915407854984894,0.8695558211096721,0.8011212333566924,0.8045693115158999,0.8814460928905716
0622_124109,0.8679228265364376,0.7958833619210978,0.887017944075171,0.8135847171931577,0.7896528250510552,0.8556121432831714
0622_123006,0.921175104375974,0.8455538221528861,0.9236591165515811,0.8512568512568512,0.8063973063973064,0.8740142945148428
0622_121852,0.8997381663501944,0.8249859313449635,0.9214430641016267,0.8485664288598734,0.8158546655656482,0.8954194873120567
0622_120839,0.9004531825084533,0.827930174563591,0.9200800019394291,0.8449460965197887,0.8334022323274081,0.9059003779236793
0622_115836,0.8742549431527449,0.8359659781287971,0.9165341467472348,0.8414909913195711,0.8331846565566459,0.8752407224460745
0622_114810,0.9074100857661274,0.826879271070615,0.9180456706928372,0.8423581085718207,0.8325082508250825,0.8752407224460745
0622_113732,0.912249713538172,0.8609865470852018,0.9191065728596086,0.8436363636363636,0.8321596244131455,0.8752407224460745
0622_112631,0.9275350446166108,0.840064620355412,0.9103096772460622,0.837440355578796,0.837696335078534,0.8752407224460745
0622_111540,0.8481558638800478,0.7806691449814126,0.8551840747552877,0.7828179966672838,0.8077777777777778,0.8752407224460745
