run_id,val_aucpr,val_f1_score,train_aucpr,train_f1_score,test_f1_score,test_aucpr
0622_124949,0.8875288658796879,0.8187579214195184,0.9028823799346001,0.8273199703043801,0.775654635527247,0.8483706601554013
0622_124322,0.8328532408653136,0.7741330834114339,0.9021787311415359,0.8257542947885087,0.7962844330557335,0.872953160202316
0622_123647,0.857283459759666,0.7923497267759563,0.8668563977751882,0.7977795400475813,0.7757929274516953,0.8457928620771542
0622_122948,0.8981790741866449,0.815811606391926,0.8969416680219604,0.8248873873873874,0.777078965758211,0.8338746933949737
0622_122311,0.8666105079864652,0.7924528301886793,0.8972529872311379,0.8245468382454684,0.8039914468995011,0.8821105626807474
0622_121646,0.8488872546348574,0.7876923076923077,0.8777292203892052,0.8073741763633815,0.7905188981422165,0.8743213331248866
0622_120942,0.8756719835379247,0.8028673835125448,0.8744650692296352,0.8016472203157172,0.7756272401433691,0.8397900231937954
0622_120230,0.9038814225204956,0.819047619047619,0.8980410448650209,0.8263062838637354,0.7795210569777044,0.857262579515647
0622_115523,0.8905843847857869,0.8231292517006803,0.895917365958583,0.8232387312186978,0.8102564102564103,0.8907374564156424
0622_114848,0.9119657145057982,0.8281829419035847,0.8927953753207845,0.8214413511772705,0.8167281672816729,0.8889075094015125
0622_114229,0.865677050876578,0.8243727598566308,0.8917019825576037,0.8162201303403331,0.8274217585692996,0.9008136871800475
0622_113542,0.8972916164792334,0.8217934165720772,0.894974467094335,0.8200285345471839,0.8251864125932062,0.8933739076752567
0622_112847,0.9077787249001111,0.832579185520362,0.896205312551492,0.8215641609719059,0.8195965417867436,0.882966112445054
0622_112148,0.9193727201742078,0.8299430431244914,0.8909139649429779,0.8221589438260419,0.825923134890731,0.9017292575331062
0622_111452,0.8657388947352963,0.769811320754717,0.858958747388926,0.7914034435773566,0.809001731102135,0.8990270149820939
